TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,26,56,3966,103.1,108.3,-5.3,51.8,1.28,15,31.7,69.1,50.1,15.9,48.1,52.4,92.6,46.2,"7,656"
Utah Jazz,82,53,29,3951,109.7,104,5.7,67.8,1.76,19.8,31.3,71.8,52,16,52.4,56.5,94.68,55,"7,791"
Toronto Raptors,82,40,42,3956,110.2,112.2,-2,56.4,1.64,17.1,28.8,69.2,49.5,14.2,52.1,56.4,93.94,48.9,"7,746"
San Antonio Spurs,82,50,32,3956,109.3,103.9,5.4,58.1,1.64,17.4,30.3,72,51.5,14.7,51.5,55.2,92.26,53.2,"7,605"
Sacramento Kings,82,25,57,3976,104.4,109.1,-4.7,53.4,1.37,15.7,31.5,70,50.4,15.6,49.1,52.8,94.78,46.7,"7,855"
Portland Trail Blazers,82,50,32,3971,109.6,106.1,3.5,56.3,1.65,16.6,32,70.2,51,13.8,49.9,54.7,88.64,52.5,"7,339"
Phoenix Suns,82,54,28,3946,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50.3,15.2,54.6,58.5,96.43,53.6,"7,937"
Philadelphia 76ers,82,27,55,3961,104.8,108.9,-4.1,55.8,1.45,16.4,31,69.3,49.8,15.6,49.6,53.4,92.72,47.8,"7,648"
Orlando Magic,82,59,23,3946,110.7,102.8,7.9,53.7,1.4,15.8,28,72.6,51.2,15.2,53.6,57.3,92.54,55.1,"7,614"
Oklahoma City Thunder,82,50,32,3961,107,103.5,3.5,53.5,1.34,15.5,32,69.4,51.1,15.8,49.4,54.7,94.13,53.2,"7,774"
New York Knicks,82,29,53,3976,106.4,110.3,-4,56.7,1.54,16.6,26.8,69.1,47.6,14.6,50.9,54.7,95.03,47.4,"7,872"
New Orleans Hornets,82,37,45,3966,106.5,108.9,-2.4,57.5,1.66,17.3,28.2,69.6,48.6,14.3,50.6,54.3,93.53,48.4,"7,721"
New Jersey Nets,82,12,70,3956,99.3,108.9,-9.6,54.7,1.3,15.1,28.5,68.6,47.8,15.5,45.8,50.9,92.65,42.9,"7,628"
Minnesota Timberwolves,82,15,67,3956,100.6,110.4,-9.8,52.4,1.22,15,30.8,70.5,50.1,16.7,47.8,51.8,97.12,43.2,"8,002"
Milwaukee Bucks,82,46,36,3996,104,101.9,2.1,57,1.6,16.4,29.8,72.6,50.1,14.1,48.2,51.8,92.6,49.5,"7,698"
Miami Heat,82,47,35,3976,105.7,103.4,2.4,51.9,1.43,15.4,29.4,70.1,50,14.4,49.6,53.7,90.3,52.2,"7,485"
Memphis Grizzlies,82,40,42,3981,107.5,109,-1.5,47.9,1.24,14.4,35.5,69.8,52.3,16,49.4,53.6,94.29,48.6,"7,816"
Los Angeles Lakers,82,57,25,3966,107.6,102.7,4.9,55,1.58,16.2,31.4,70.8,51.2,14.1,49.6,53.8,93.73,52.9,"7,749"
Los Angeles Clippers,82,29,53,3941,102.3,109.1,-6.8,60.3,1.41,17.1,30.5,69.7,50,16.8,49.1,52.9,93.44,46.5,"7,670"
Indiana Pacers,82,32,50,3941,103,106,-3,57.3,1.4,16.1,25.5,69,47.3,15.4,49.1,53.6,97.77,47.6,"8,024"
Houston Rockets,82,42,40,3981,106.8,106.8,0,57.9,1.51,16.5,30.9,69.9,49.8,15.1,49.4,53.7,94.91,48.9,"7,857"
Golden State Warriors,82,26,56,3946,107,110.3,-3.3,55.2,1.53,16.5,25.4,65.9,45.3,14.4,51.4,55.7,101.52,47,"8,338"
Detroit Pistons,82,27,55,3956,104.5,110.3,-5.9,54.1,1.45,15.5,34.6,69.7,51,14.9,47.4,51.5,89.46,44.8,"7,379"
Denver Nuggets,82,53,29,3956,110.8,106.5,4.4,55,1.51,16.1,30.4,68.7,49.8,14.4,50.9,56.1,95.61,52.4,"7,876"
Dallas Mavericks,82,55,27,3976,107.8,105,2.8,61.1,1.81,18,27.9,69.7,49.3,13.7,50.6,55.2,93.6,53.4,"7,757"
Cleveland Cavaliers,82,61,21,3956,110.6,103.8,6.8,59.2,1.61,17.7,29.3,72.5,51.9,15,53.2,57,91.77,55.2,"7,573"
Chicago Bulls,82,41,41,3981,102.6,104.2,-1.6,55.3,1.45,16,30.3,70.9,50.9,15.1,47.7,52,94.02,50,"7,794"
Charlotte Bobcats,82,44,38,3976,103.9,102,1.9,58,1.29,16.1,31.5,69.8,51,17.2,49,53.8,90.91,51.8,"7,519"
Boston Celtics,82,50,32,3956,106.9,103.2,3.7,63.5,1.58,18.5,27.4,69.7,49.3,16,52.2,56.4,92.22,54,"7,609"
Atlanta Hawks,82,53,29,3971,111,106,4.9,56.2,1.83,17.1,32,68.5,50.2,13,50.6,54.5,90.77,52.3,"7,515"
